Supplementary Table 2. Expression of genes in TEC and dynamic step tissue specificity calls.																
																
Ensembl ID	Gene Symbol	GNF GeneAtlas Specificity	calculated FPKMs							CuffDiff FPKMs						
ENSMUSG00000003282	Plag1	not detected	1.757681493	1.507659315	1.963947868	1.337594842	1.250617514	1.038554629	1.382823602	1.74133	1.49407	1.87409	1.31737	1.1551	0.99349	1.31772
ENSMUSG00000003360	Ddx23	not detected	24.89427541	25.11548557	25.84067832	23.25584142	27.69530223	26.04278577	26.69443213	24.9906	23.9055	24.4146	21.1965	26.7058	24.5241	26.4371
ENSMUSG00000004296	Il12b	not detected	0.140651187	5.592996514	0.204592532	4.660088233	0.71024913	3.842653828	0.870873398	0.126665	5.23237	0.163089	4.2353	0.572721	3.32494	0.671906
ENSMUSG00000004562	Arhgef40	not detected	37.90858331	26.52164984	19.62823819	32.26478445	40.84509572	35.71369607	42.484072	32.8757	23.0025	15.8974	27.9499	33.9428	30.1976	35.3799
ENSMUSG00000004814	Ccl24	not detected	0.04888103	1.068493765	0.082274122	1.451107354	0.153125464	0.869277681	0.085465397	0.0340755	0.971175	0.056095	1.32307	0.106464	0.76764	0.0632453
ENSMUSG00000005202	Shbg	not detected	0.007648338	0.591454072	0	0.540015053	0.01007544	0.348161766	0.009783996	0.00830883	0.533605	0	0.495286	0.00859611	0.294737	0.0096215
ENSMUSG00000005503	Evx1	not detected	0	0.048004265	0	0.04946451	0.00496943	0.044974568	0.004825683	0	0.0490331	0	0.0503947	0.0154843	0.0444523	0.00469986
ENSMUSG00000005640	Insrr	not detected	0.04254407	2.019796478	6.387696466	1.924607661	1.838272159	1.791408976	1.385083657	0.0378047	1.74688	5.40742	1.6836	1.5521	1.5386	1.14218
ENSMUSG00000005718	Tfap4	not detected	4.381260029	2.728031145	5.105841759	2.341688694	2.76738916	1.631106449	1.852884243	4.01969	2.52844	4.38178	2.10142	2.42324	1.4464	1.61335
ENSMUSG00000005864	Cnga2	not detected	0.123973476	5.083016738	1.003042695	7.477745647	5.44071797	7.896955889	5.614113936	0.1217	4.87472	0.933185	7.20849	4.92774	7.3406	5.18987
ENSMUSG00000006056	Calcoco2	not detected	0.080951599	3.001634509	0.309913682	3.283719955	0.158758108	1.422285663	0.172687194	0.0798819	2.59415	0.24977	2.87435	0.129355	1.21042	0.139545
ENSMUSG00000006218	Fam131c	not detected	0	1.823749758	0.126595545	2.666057169	0.568689343	1.781261679	0.581304569	0	1.61021	0.102187	2.27739	0.472976	1.45236	0.512101
ENSMUSG00000006270	Vax1	not detected	0.010955881	0.300144269	0.038811434	0.185669097	0.036692837	0.087033309	0.05531353	0	0.442202	0.0292098	0.230453	0.0132811	0.116018	0.0384438
ENSMUSG00000006311	Etv2	not detected	0.019786677	1.462334244	0.019455351	1.576669552	0.273690102	1.211674581	0.265773297	0.0214706	1.33381	0.0199607	1.38472	0.276447	0.993361	0.246019
ENSMUSG00000006587	Snai3	not detected	0.594216697	0.969438885	0.570835168	1.019595804	0.728798628	0.621826993	0.550446772	0.602846	0.953487	0.533065	0.995858	0.644374	0.570549	0.521557
ENSMUSG00000006724	Cyp27b1	not detected	0.155042747	1.182892416	0.152446568	1.706424877	0.192229239	0.998363268	0.309170173	0.140908	1.05941	0.113652	1.52556	0.152799	0.879215	0.285225
ENSMUSG00000006764	Tph2	not detected	0.037196089	1.387636544	0.024382162	1.600761844	0	0.864523432	0.005286935	0.0355075	1.26009	0.0238984	1.47349	0	0.748315	0.00514909
ENSMUSG00000006948	Klk4	not detected	0.078204108	21.12834519	0.333209873	30.41285965	4.407016898	21.09598273	6.024701371	0.0737898	19.6953	0.308538	28.6351	3.84132	18.7879	5.29787
ENSMUSG00000006958	Chrd	not detected	2.649647756	1.903407085	4.089039	0.90627165	0.26479441	0.975349938	0.206546111	2.70777	1.93834	3.85337	0.944788	0.274415	1.02091	0.205395
ENSMUSG00000007030	D17H6S56E-3	not detected	0.882355292	3.515229211	0.992294063	3.553161141	3.1088211	5.292585424	3.447880834	0.658537	2.63012	0.769165	2.76019	2.43905	3.93866	2.71011
ENSMUSG00000007035	Msh5	not detected	0.741774991	2.891508768	0.609415808	3.276248524	0.92070915	2.99432112	1.020596833	0.866769	3.66156	0.616127	4.21003	1.07636	3.67573	1.21225
ENSMUSG00000007209	Ceacam9	not detected	0.01579766	4.77835127	0.093198775	5.648715785	0	2.962126132	0	0.015591	4.58291	0.0753297	5.44358	0	2.73475	0
ENSMUSG00000009114	2610028H24Rik	not detected	0.898356944	2.682597902	3.600879371	1.849630001	1.609886443	2.388153741	1.738227364	0.0656932	1.51271	2.24724	0.817071	0.330392	0.864414	0.187845
ENSMUSG00000009246	Trpm5	not detected	0.210390034	7.091969281	119.5207504	9.772948788	6.657607352	16.32832319	10.96306172	0.252613	9.02064	139.942	12.5462	7.28939	19.9454	12.0444
ENSMUSG00000009487	Otog	not detected	0.02871605	2.243836021	0.059304883	2.477968165	0.082614187	2.052402042	0.061103211	0.018249	1.89859	0.0438211	2.13698	0.0466934	1.70454	0.036488
ENSMUSG00000009551	6330409D20Rik	not detected	0.048494157	3.009577325	0.123973527	3.756568904	7.174078073	4.888065527	7.220904061	0.00957196	2.64978	0.0579729	3.39458	5.97376	4.18921	6.15145
ENSMUSG00000009734	Pou6f2	not detected	0.025533079	0.694288829	0.047857251	0.776204798	1.276264693	0.785363812	1.062737383	0.0196391	0.890204	0.0350169	1.07768	1.4558	1.00949	1.14604
ENSMUSG00000009876	Cox4i2	not detected	0.179046827	4.920882299	0.541688314	5.084462976	0.870886271	4.791737254	0.933788087	0.168002	4.3353	0.483674	4.38457	0.535014	3.94781	0.727201
ENSMUSG00000010825	Grid2ip	not detected	0.145569196	0.974839325	0.152219375	1.24687651	0.200895311	1.621561386	0.215774926	0.1595	1.00107	0.16251	1.25824	0.210371	1.61479	0.232691
ENSMUSG00000011658	Fuz	not detected	12.85623154	12.23092194	14.60130025	13.8306624	14.89415187	14.68987573	15.89465068	16.5367	15.8784	17.0333	17.3465	20.3743	18.3176	21.4685
ENSMUSG00000012282	Wnt8a	not detected	0.00227917	0.494678018	0.073749447	0.313484438	0.065507673	0.271503217	0.079515984	0	0.438045	0.0599058	0.287519	0.0532713	0.253024	0.077819
ENSMUSG00000012396	Nanog	not detected	1.151560937	3.120196963	1.610027914	3.465925061	2.630531121	3.454186197	2.55352245	0.299809	1.68701	0.26191	1.56209	0.26993	1.05308	0.347285
ENSMUSG00000013353	4931406B18Rik	not detected	0.055765777	0.235446745	0.098246255	0.35644131	0.132435498	0.312096214	0.104679918	0.0414209	0.408955	0.0770529	0.676397	0.115862	0.453537	0.072512
ENSMUSG00000013483	Card14	not detected	0.338027102	6.423229246	5.676876785	8.350702206	3.803708637	10.13521818	4.423175861	0.0215052	5.03208	3.88318	6.61893	2.6568	7.97774	3.21805
ENSMUSG00000014198	Zfp385c	not detected	3.056097083	4.030611851	3.212438002	4.420342537	3.219950498	4.361283263	3.546605506	0.102481	1.66023	0.164537	1.82902	0.0158366	1.33804	0.064054
ENSMUSG00000014498	Ankrd52	not detected	19.86083171	14.23841059	16.73085894	11.1796169	15.00525281	12.55137082	12.97746645	18.5552	13.9639	15.3289	10.3263	14.9444	12.5237	12.8577
ENSMUSG00000015001	Oc90	not detected	0.011346568	1.593834624	0.072517709	1.50498094	0.007473628	0.866998456	0	0.0139932	1.45362	0.0648203	1.33473	0.00995702	0.732849	0
ENSMUSG00000015533	Itga2	not detected	0.077263828	1.820199525	0.648277765	2.499025928	1.519952119	2.04608478	1.983355828	0.06179	1.43719	0.503995	1.97837	1.14776	1.62559	1.54782
ENSMUSG00000015957	Wnt11	not detected	0.03883537	3.555858803	0.970292574	4.516754192	3.351588463	6.09783906	4.756487104	0.0784379	7.64644	1.86953	8.88013	6.843	12.5281	9.93657
ENSMUSG00000015981	Stk32c	not detected	0.051860519	0.821468687	0.083441649	0.889255395	0.068317787	0.669391445	0.078403727	0.0426374	0.72916	0.0666582	0.85068	0.0724904	0.592781	0.0728317
ENSMUSG00000017000	Svs6	not detected	0	0.675151855	0.01994628	0.675227901	0	0.263840612	0	0	0.650684	0.0192102	0.586736	0	0.23918	0
ENSMUSG00000017003	Svs3a	not detected	0	0.473640539	0	0.497170644	0	0.318578378	0	0	0.266153	0	0.242529	0	0.126967	0
ENSMUSG00000017167	Cntnap1	not detected	1.589522254	15.14418343	3.585110281	26.90060267	32.22785399	26.90026513	31.94188338	1.37811	13.0768	2.96519	23.1717	26.831	22.6064	26.5412
ENSMUSG00000017588	Krt27	not detected	0.018671815	1.85400969	0.095238116	1.858615425	0.188321364	1.211704134	0.31827529	0.0076066	1.05584	0.0132613	1.00699	0.0103298	0.569852	0.0437025
ENSMUSG00000017721	Pigt	not detected	23.7546188	30.48497427	31.49864	26.95187256	28.66008393	29.52941448	28.64064611	24.8653	31.4112	31.7555	28.1422	28.3022	29.661	28.0652
ENSMUSG00000017724	Etv4	not detected	6.966264439	4.411054176	1.854131387	3.908947176	0.792294833	3.305863319	1.018122659	5.92106	3.80203	1.55407	3.34773	0.646373	2.73176	0.871241
ENSMUSG00000018486	Wnt9b	not detected	0.204184229	1.314443466	0.016533603	1.666987844	0.677195356	1.374680833	0.574637623	0.20776	1.3099	0.0162459	1.66127	0.654577	1.33006	0.553265
ENSMUSG00000018537	Pcgf2	not detected	36.24935895	7.75138072	14.36105008	5.535983586	6.777008886	5.846825187	6.257383605	48.5774	10.3867	17.5425	7.22929	9.23329	7.70989	8.35352
ENSMUSG00000018595	Glra4	not detected	0.130401874	0.243689758	0.104905885	0.316867536	0.101508271	0.256972014	0.053077245	0.100081	0.226164	0.0735661	0.268563	0.081611	0.216029	0.0147695
ENSMUSG00000018620	Mmp20	not detected	0	1.608474254	0.172642481	2.349100803	0.418961161	1.601419627	0.567883934	0	1.5003	0.165469	2.21896	0.368631	1.40894	0.531241
ENSMUSG00000018844	Fndc8	not detected	0.065137996	0.507642797	0.16258152	1.025953806	1.399341884	1.010110006	1.230669544	0.0153335	0.433797	0.110646	0.947956	1.23336	0.901418	1.09119
ENSMUSG00000018914	Il3	not detected	0	4.323800529	0.050896311	5.499543714	1.886574116	3.627983188	2.030653662	0	3.34266	0.0332577	4.41214	0.900564	2.60781	1.29587
ENSMUSG00000018916	Csf2	not detected	0.081397442	8.901786741	0.546902064	12.80784559	8.476958642	15.71816703	10.42997246	0.0830307	7.88769	0.467949	11.1162	7.06555	13.6268	8.60703
ENSMUSG00000018973	Hoxb1	not detected	0.052242483	0.345089986	0.050770859	0.29536275	0.029928309	0.248681074	0.037714819	0.0328777	0.317256	0.0304341	0.256256	0.00767553	0.223141	0.0260541
ENSMUSG00000019235	Rps6kl1	not detected	0.213809935	3.294271925	1.202513907	4.690594275	2.61380261	5.399437134	3.120776793	0.188805	3.02132	1.02233	4.23446	2.35189	4.65701	2.68069
ENSMUSG00000019489	Cd70	not detected	0.373796647	20.2632816	2.750194029	32.1385735	56.71276217	50.66985313	62.47570859	0.372848	18.2612	2.31044	29.6721	49.9528	44.7641	55.2551
ENSMUSG00000019815	Fam164b	not detected	0	0.00918212	0	0	0	0	0.02399912	0	0.00960598	0	0	0	0	0
ENSMUSG00000019878	Hsf2	not detected	10.74961597	8.072398467	11.07315989	7.923966188	6.748298246	6.190030904	7.067031336	9.56343	7.05541	9.28103	6.86584	5.51011	5.11889	5.77491
ENSMUSG00000019905	Gprc6a	not detected	0	0.505891096	0.04110079	0.659265676	0.01001194	0.378916752	0	0	0.461428	0.0403491	0.617967	0.0106731	0.346257	0
ENSMUSG00000020081	Tacr2	not detected	0.002403231	2.131329494	0.1194885	2.48219699	0.012663463	2.138471198	0.024594315	0	2.03236	0.0929669	2.36828	0.0141817	1.92641	0.0240695
ENSMUSG00000020177	9530003J23Rik	not detected	0.015547164	0.744142744	0.049550404	0.728061362	0.024577027	0.373037834	0.024689077	0.00956223	1.01532	0.0511934	0.965518	0.0217011	0.474226	0.0219327
ENSMUSG00000020234	4930404N11Rik	not detected	77.25293608	4.780026216	2.577161039	5.885274661	7.998713442	9.143365985	9.418533199	17.4766	1.65239	1.20386	2.22722	4.08078	3.54569	4.72123
ENSMUSG00000020279	Il9r	not detected	0.285664073	9.989430142	1.981540868	10.11440131	21.20649516	14.56476328	20.48426539	0.220647	11.4524	1.96067	11.587	25.064	17.7222	23.9023
ENSMUSG00000020327	Fgf22	not detected	0.055561394	0.108775219	0.127472386	0.11208406	0.121988478	0.220805176	0.118459819	0.03805	0.10901	0.110824	0.0910957	0.148117	0.227029	0.0832227
ENSMUSG00000020354	Sgcd	not detected	0.790013463	1.48673279	0.425447482	1.354932811	1.595053339	1.203071641	1.806163241	1.64382	3.30646	0.839671	2.89084	3.11807	2.59596	4.12699
ENSMUSG00000020383	Il13	not detected	0.288212244	66.33428776	1.239814414	95.48765115	260.1588441	145.5377476	264.1319722	0.25791	60.62	1.10555	86.495	220.857	125.99	224.023
ENSMUSG00000020633	Dcdc2c	not detected	8.790149911	24.40891072	16.10930302	27.92386925	26.2070362	23.54189935	24.63421881	4.2339	12.6648	8.19633	14.0328	12.4802	11.2279	11.327
ENSMUSG00000020673	Tpo	not detected	0.00621236	0.632436264	0.009162501	0.87412094	0	0.764217781	0.003973523	0.00324675	0.679675	0.00956675	0.859189	0	0.701326	0.0041385
ENSMUSG00000020682	Mmp28	not detected	6.490515009	1.58623802	5.170216881	1.78097038	1.181950048	1.983858504	1.081543798	6.65147	1.5184	4.84115	1.8177	1.12784	1.89326	1.04316
ENSMUSG00000020686	Gas2l2	not detected	0.36176641	0.602417443	0.261670738	0.64590766	0.01643339	0.491247295	0	0.342397	0.572158	0.232295	0.613627	0.0154816	0.454572	0
ENSMUSG00000020702	Ccl1	not detected	0.070588568	20.43553252	0.347032838	21.66235575	0.162730646	15.47346537	0.135448691	0.0896531	21.6756	0.326172	21.9844	0.164877	15.9828	0.160068
ENSMUSG00000020703	5530401A14Rik	not detected	0	0.063649697	0.052310097	0.101359968	0.007787064	0.070474855	0	0	0.0584678	0.0513714	0.0968606	0.00872068	0.0696958	0
ENSMUSG00000020793	Galr2	not detected	22.14234204	0.646184606	0.165019481	0.564271988	0.147392264	0.636651476	0.15028521	22.1065	0.639117	0.155134	0.557986	0.139511	0.623924	0.125864
ENSMUSG00000020804	Aanat	not detected	0.121432082	0.170870909	0.089549033	0.252620229	0.119975242	0.222096599	0.184465962	0.154249	0.166997	0.0842374	0.342092	0.14596	0.180423	0.15069
ENSMUSG00000020871	Dlx4	not detected	0.735310522	0.448691795	0.178402055	0.414180108	0.113219047	0.367428715	0.134376066	0.700517	0.443675	0.16598	0.407647	0.113372	0.347693	0.119669
ENSMUSG00000020872	Tac4	not detected	0.104105442	4.993399884	0.290026245	8.102963793	13.70848203	10.54993366	18.22277529	0.106194	4.78189	0.268424	7.87206	12.6391	9.8053	16.6397
ENSMUSG00000020890	Gucy2e	not detected	0.010512684	0.626983662	0.789102096	0.711200839	0.059107036	0.472912033	0.09164158	0.0109332	0.627932	0.740082	0.701651	0.0576998	0.445642	0.081196
ENSMUSG00000020891	Alox8	not detected	0.713293479	11.2885642	3.765307873	11.69940011	4.487497452	11.05948893	5.820749079	0.443722	10.1142	2.97911	10.259	3.46967	9.55677	5.03733
ENSMUSG00000020892	Aloxe3	not detected	0.212098889	1.998764159	1.438622965	2.39315619	1.472799746	3.818362393	1.968245797	0.191666	1.77092	1.18462	2.04451	1.11216	3.22177	1.62846
ENSMUSG00000020916	Krt36	not detected	0.168867624	5.365896941	0.210743012	4.706960393	0.094115826	4.607309447	0.054005201	0.155179	4.65723	0.174829	4.03631	0.0798436	3.86328	0.0406952
ENSMUSG00000020940	1700023F06Rik	not detected	0.717685017	0.6634942	0.595896946	0.852585537	0.651298366	0.855640338	0.754870183	0.625564	0.635655	0.549994	0.735904	0.674773	0.835558	0.712182
ENSMUSG00000020956	6530401N04Rik	not detected	3.204030841	1.621614615	1.804866723	1.754447133	1.106714776	1.313926706	1.00939712	5.23452	2.64643	2.62301	2.99349	1.7993	2.08945	1.68056
ENSMUSG00000020961	Ston2	not detected	9.916895659	9.848474995	9.739196466	6.645089015	16.84038664	8.790213123	17.05951318	13.961	11.2829	11.1621	7.62844	18.8025	10.3924	19.4684
ENSMUSG00000020992	4930512B01Rik	not detected	0.005841223	0.017153466	0.063177534	0.029458764	0	0.025323776	0	0.00576481	0.0173714	0.0562946	0.0244683	0	0.0187582	0
ENSMUSG00000021070	Bdkrb2	not detected	2.706787963	8.86574146	5.71039437	8.249253416	12.10143129	9.718390949	11.66874346	2.68001	8.5226	5.23281	7.95056	11.2205	9.15866	10.7808
ENSMUSG00000021095	Gsc	not detected	0	0.310733108	0.118100899	0.294224351	0	0.195273338	0	0	0.300705	0.116046	0.264106	0	0.193032	0
ENSMUSG00000021101	4930408O17Rik	not detected	0	0.051322285	0.635807749	0.229161667	0.069067873	0.113651149	0.067070004	0	0.0531331	0.437333	0.17989	0.071208	0.112247	0.0437591
ENSMUSG00000021219	Rgs6	not detected	0.051208457	0.908545201	0.229726324	0.94748106	0.147566127	0.610518825	0.118732301	0.0643132	1.31347	0.281551	1.22684	0.169055	0.777988	0.129269
ENSMUSG00000021223	Papln	not detected	0.305263676	1.520796787	0.212302676	1.762314454	0.689841635	2.186881495	0.981019588	0.272071	1.288	0.167013	1.43035	0.519369	1.79034	0.785774
ENSMUSG00000021440	Cts7	not detected	0	0.53367614	0	0.513249404	0	0.244239593	0	0	0.414603	0	0.416548	0	0.202476	0
ENSMUSG00000021448	Shc3	not detected	6.573933533	0.974589158	0.319374073	1.025601969	0.195340301	0.73470255	0.108394203	5.40839	0.809034	0.25711	0.804192	0.154622	0.559821	0.0898762
ENSMUSG00000021538	Il9	not detected	0.02024812	13.49766523	0.0597272	16.8287804	0.0800208	9.041627435	0	0.0219967	10.019	0.0390282	13.0174	0.075386	6.5541	0
ENSMUSG00000021541	Trpc7	not detected	0.032041836	0.443536805	0.13052098	0.859059258	0.747491368	0.860715522	0.918549247	0.0196905	0.381835	0.0998837	0.855481	0.666089	0.757251	0.783817
ENSMUSG00000021600	8030423J24Rik	not detected	0	0.048900865	0	0.062985481	0	0.027072253	0	0	0.0509023	0	0.0638765	0	0.0268484	0
ENSMUSG00000021609	Slc6a3	not detected	0.009421	3.034029152	0.037052985	3.268858976	0.078600678	2.117048621	0.092395917	0.0102346	2.70433	0.0331333	2.9267	0.0514001	1.84402	0.0744891
ENSMUSG00000021611	Tert	not detected	2.217482375	3.175330453	5.678256445	2.591335931	3.647291702	2.355325524	2.585425315	2.49446	3.00147	5.7673	2.86057	4.18127	2.3405	2.76592
ENSMUSG00000021685	Otp	not detected	0	0.422431905	0.027084416	0.509372429	0.012095643	0.477680972	0.05872881	0	0.362663	0.0180061	0.49081	0.0103197	0.432607	0.0574199
ENSMUSG00000021732	Fgf10	not detected	0.011676263	0.469836152	0.272833212	0.644709371	2.264804931	0.981197614	2.714110358	0.00546943	0.454468	0.254243	0.614776	2.12542	0.94122	2.55203
ENSMUSG00000021779	Thrb	not detected	0.630311556	3.787338287	1.385242997	6.046013552	7.456515543	5.922470522	7.893283916	0.705207	4.27611	1.50576	6.93831	8.05514	6.63095	8.66086
ENSMUSG00000021797	9230112D13Rik	not detected	0	0.013620145	0.013681102	0.056137829	0	0.015080633	0	0	0.0144082	0.0136431	0.04261	0	0.0148635	0
ENSMUSG00000021822	Plau	not detected	41.69708633	17.21531534	13.44355534	18.44105933	11.64302461	24.06080073	14.50098166	37.7373	15.2956	11.5019	16.3869	9.52167	20.4528	12.2847
ENSMUSG00000022002	4930564B18Rik	not detected	0	0.126327244	0	0.125970962	0	0.057528538	0	0	0.0976641	0	0.102122	0	0.0535309	0
ENSMUSG00000022041	Chrna2	not detected	0.053439269	2.800722625	0.146926066	4.31145101	0.929152747	3.091501754	0.964295286	0.0255189	2.64976	0.112691	4.15988	0.833742	2.86563	0.866944
ENSMUSG00000022074	Tnfrsf10b	not detected	14.90828004	26.20689379	12.834583	27.76935405	42.36258446	29.46379964	38.95399319	12.7289	22.4732	9.52005	23.0866	34.5574	23.7777	31.7972
ENSMUSG00000022101	Fgf17	not detected	0.083633017	1.706595275	0.05060467	1.258858361	0.042374184	1.02498246	0.024689077	0.0679696	1.55611	0.0498165	1.14801	0.0429337	0.909705	0.0241232
ENSMUSG00000022116	4930449E01Rik	not detected	0	0.01785498	0	0.091990559	0	0	0	0	0.0176787	0	0.0944588	0	0	0
ENSMUSG00000022209	Dhrs2	not detected	0.111268849	6.451308379	0.06732656	6.62165168	0.056376379	4.341509752	0.065694751	0.0878762	5.27467	0.057024	5.29238	0.0541135	3.35646	0.0430691
ENSMUSG00000022227	Mcpt1	not detected	0.084459084	11.16023893	0.119376933	12.83879871	0.013907636	7.866721388	0	0.0552459	9.17764	0.112098	10.5232	0	6.4703	0
ENSMUSG00000022262	Dnahc5	not detected	0.037495943	3.349562237	4.377401285	2.540964056	1.182730977	2.104225942	0.993962009	0.0344128	2.96397	3.66508	2.23855	0.956925	1.80585	0.843627
ENSMUSG00000022288	4930447A16Rik	not detected	0	0	0	0	0	0.020039002	0	0	0	0	0	0	0.0197505	0
ENSMUSG00000022315	Slc30a8	not detected	0.038997917	0.36070171	0.064187432	0.325330119	0.075485381	0.256969483	0.05738034	0.0168505	0.317341	0.0318403	0.265469	0.0367475	0.200685	0.020714
ENSMUSG00000022335	Zfat	not detected	3.048126444	4.472008926	2.165496636	4.976637468	4.092691458	4.446409343	4.161920327	2.88887	4.12303	1.9241	4.61375	3.53545	4.02089	3.65133
ENSMUSG00000022494	Shisa9	not detected	0.476680447	3.341261898	1.799467335	4.129762848	11.6394804	5.858382474	9.70211004	0.399473	3.28272	1.71179	3.92865	10.5917	5.41452	8.78168
ENSMUSG00000022496	Tnfrsf17	not detected	0.13316555	8.016666879	0.366619968	15.2719002	25.05053603	20.29279618	25.17766798	0.135396	7.28754	0.320175	14.0215	21.2564	18.3782	22.5489
ENSMUSG00000022544	Fam86	not detected	15.07271616	7.130549957	9.745276904	7.309538115	7.561393335	6.997226973	7.219430052	15.798	6.12573	8.54724	6.59774	6.1593	5.28102	5.72107
